Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.13193	1	0	1	-98.2692
1.13293	1	0	1	-98.2692
1.13393	1	0	1	-98.2692
1.13493	1	0	1	-98.2692
1.13593	1	0	1	-98.2692
1.13693	1	0	1	-98.2692
1.13793	1	0	1	-98.2692
1.13893	1	0	1	-98.2692
1.13993	1	0	1	-98.2692
1.14093	1	0	1	-98.2692
1.14193	1	0	1	-98.2692
1.14293	1	0	1	-98.2692
1.14393	1	0	1	-98.2692
1.14493	1	0	1	-98.2692
1.14593	1	0	1	-98.2692
1.14693	1	0	1	-98.2692
1.14793	1	0	1	-98.2692
1.14893	1	0	1	-98.2692
1.14993	1	0	1	-98.2692
1.15093	1	0	1	-98.2692
1.15193	1	0	1	-98.2692
1.15293	1	0	1	-98.2692
1.15393	1	0	1	-98.2692
1.15493	1	0	1	-98.2692
1.15593	1	0	1	-98.2692
1.15693	1	0	1	-98.2692
1.15793	1	0	1	-98.2692
1.15893	1	0	1	-98.2692
1.15993	1	0	1	-98.2692
1.16093	1	0	1	-98.2692
1.16193	1	0	1	-98.2692
1.16293	1	0	1	-98.2692
1.16393	1	0	1	-98.2692
1.16493	1	0	1	-98.2692
1.16593	1	0	1	-98.2692
1.16693	1	0	1	-98.2692
1.16793	1	0	1	-98.2692
1.16893	1	0	1	-98.2692
1.16993	1	0	1	-98.2692
1.17086	1	0	1	-98.2692
1.17093	1	0	1	-98.2692
1.17193	1	0	1	-98.2692
1.17293	1	0	1	-98.2692
1.17393	1	0	1	-98.2692
1.17493	1	0	1	-98.2692
1.17593	1	0	1	-98.2692
1.17693	1	0	1	-98.2692
1.17793	1	0	1	-98.2692
1.17893	1	0	1	-98.2692
1.17993	1	0	1	-98.2692
1.18093	1	0	1	-98.2692
1.18193	1	0	1	-98.2692
1.18293	1	0	1	-98.2692
1.18393	1	0	1	-98.2692
1.18493	1	0	1	-98.2692
1.18593	1	0	1	-98.2692
1.18693	1	0	1	-98.2692
1.18793	1	0	1	-98.2692
1.18893	1	0	1	-98.2692
1.18993	1	0	1	-98.2692
1.19093	1	0	1	-98.2692
1.19193	1	0	1	-98.2692
1.19293	1	0	1	-98.2692
1.19393	1	0	1	-98.2692
1.19493	1	0	1	-98.2692
1.19593	1	0	1	-98.2692
1.19693	1	0	1	-98.2692
1.19793	1	0	1	-98.2692
