time(s)	cellId	rnti	lcid	packetSize
0.922082	1	1	5	1030
0.922122	1	1	5	1030
0.922162	1	1	5	1030
0.922202	1	1	5	1030
0.922242	1	1	5	1030
0.922282	1	1	5	1030
0.922322	1	1	5	1030
0.922362	1	1	5	1030
0.922402	1	1	5	1030
0.922442	1	1	5	1030
0.922482	1	1	5	1030
0.922522	1	1	5	1030
0.922562	1	1	5	1030
0.922602	1	1	5	1030
0.922642	1	1	5	1030
0.922682	1	1	5	1030
0.922722	1	1	5	1030
0.922762	1	1	5	1030
0.922802	1	1	5	1030
0.922842	1	1	5	1030
0.922882	1	1	5	1030
0.922922	1	1	5	1030
0.922962	1	1	5	1030
0.923002	1	1	5	1030
0.923042	1	1	5	1030
0.923082	1	1	5	1030
0.923122	1	1	5	1030
0.923162	1	1	5	1030
0.923202	1	1	5	1030
0.923242	1	1	5	1030
0.923282	1	1	5	1030
0.923322	1	1	5	1030
0.923362	1	1	5	1030
0.923402	1	1	5	1030
0.923442	1	1	5	1030
0.923482	1	1	5	1030
0.923522	1	1	5	1030
0.923562	1	1	5	1030
0.923602	1	1	5	1030
0.923642	1	1	5	1030
0.923682	1	1	5	1030
0.923722	1	1	5	1030
0.923762	1	1	5	1030
0.923802	1	1	5	1030
0.923842	1	1	5	1030
0.923882	1	1	5	1030
0.923922	1	1	5	1030
0.923962	1	1	5	1030
0.924002	1	1	5	1030
0.924042	1	1	5	1030
0.924082	1	1	5	1030
0.924122	1	1	5	1030
0.924162	1	1	5	1030
0.924202	1	1	5	1030
0.924242	1	1	5	1030
0.924282	1	1	5	1030
0.924322	1	1	5	1030
0.924362	1	1	5	1030
0.924402	1	1	5	1030
0.924442	1	1	5	1030
0.924482	1	1	5	1030
0.924522	1	1	5	1030
0.924562	1	1	5	1030
0.924602	1	1	5	1030
0.924642	1	1	5	1030
0.924682	1	1	5	1030
0.924722	1	1	5	1030
0.924762	1	1	5	1030
0.924802	1	1	5	1030
0.924842	1	1	5	1030
0.924882	1	1	5	1030
0.924922	1	1	5	1030
0.924962	1	1	5	1030
0.925002	1	1	5	1030
0.925042	1	1	5	1030
0.925082	1	1	5	1030
0.925122	1	1	5	1030
0.925162	1	1	5	1030
0.925202	1	1	5	1030
0.925242	1	1	5	1030
0.925282	1	1	5	1030
0.925322	1	1	5	1030
0.925362	1	1	5	1030
0.925402	1	1	5	1030
0.925442	1	1	5	1030
0.925482	1	1	5	1030
0.925522	1	1	5	1030
0.925562	1	1	5	1030
0.925602	1	1	5	1030
0.925642	1	1	5	1030
0.925682	1	1	5	1030
0.925722	1	1	5	1030
0.925762	1	1	5	1030
0.925802	1	1	5	1030
0.925842	1	1	5	1030
0.925882	1	1	5	1030
0.925922	1	1	5	1030
0.925962	1	1	5	1030
